term	beta
(Intercept)	-12.8738443799933
age	0.0305071856238577
sex	0.583759441735119
PC1	5.15496358938791
PC2	-1.88685965402783
PC3	-2.49977785453854
PC4	-10.5351109710419
PC5	2.31547959821993
PC6	-11.6273903816704
PC7	-6.63029441380772
PC8	13.6118406991698
PC9	15.4941202228531
PC10	21.3054450864141
PRS_CAD	0.160737687349069
PRS_SBP	1.85744326147484
T2D	
DMAG	0.0253588906750978
CVD_phase	-1.61982281613602
bmi	0.103845305908394
drink	0.1425600566295
SBP	0.0566189228664174
DBP	0.0311303946369382
glucose	-0.0035072233642711
HDL	-0.00660395808707327
creatinine	1.35428392614115
cholesterol	-0.00418364296686908
T2D_PRS	-0.311119220627167
