term	beta
(Intercept)	-8.04561719399397
age	0.0622925841172241
sex2	-0.0118504865246942
PC1	-0.932809282695455
PC2	8.58750306667471
PC3	1.68412057609088
PC4	-8.95818463661065
PC5	3.35350079679969
PC6	2.83821205474247
PC7	-3.69264844217657
PC8	4.84838305214127
PC9	10.9113215994107
PC10	6.4753204697294
PRS_CAD	0.218604909278252
PRS_SBP	2.5929437305417
T2D	0.643821826495106
bmi	0.169677760903354
drink	0.28914641076408
HDL	-0.00898417705614857
cholesterol	-0.0019060420659843
triglyceride	0.0015377127070321
BMI_PRS7	-0.49674166024302
